scenario,mortar,round,range_tiles,primary_skill,perception,crew,effective_skill,fire_delay_s,flight_time_s,profile,base_range_tiles,base_deflection_tiles,final_range_tiles,final_deflection_tiles
81mm baseline,M252 81mm,M821A2 81mm HE,3000,8,10,0,8.0,20,38.95051806000605,plain spotter,600,600,600,600
81mm baseline,M252 81mm,M821A2 81mm HE,3000,10,6,0,10.0,20,38.95051806000605,plain spotter,600,600,600,600
81mm baseline,M252 81mm,M821A2 81mm HE,3000,10,8,0,10.0,20,38.95051806000605,plain spotter,600,600,600,600
81mm baseline,M252 81mm,M821A2 81mm HE,3000,10,10,0,10.0,20,38.95051806000605,plain spotter,600,600,600,600
81mm one crew,M252 81mm,M889A1 81mm HE,3000,4,6,1,5.04618667906767,8,38.95051806000605,SOFLAM rangefinder,600,600,600,600
81mm one crew,M252 81mm,M889A1 81mm HE,3000,4,8,1,5.04618667906767,8,38.95051806000605,SOFLAM rangefinder,600,600,600,600
81mm one crew,M252 81mm,M889A1 81mm HE,3000,4,10,1,5.04618667906767,8,38.95051806000605,SOFLAM rangefinder,600,600,600,600
81mm one crew,M252 81mm,M889A1 81mm HE,3000,8,6,1,9.2951600308978,8,38.95051806000605,SOFLAM rangefinder,600,600,600,600
81mm one crew,M252 81mm,M889A1 81mm HE,3000,8,8,1,9.2951600308978,8,38.95051806000605,SOFLAM rangefinder,600,600,600,600
81mm one crew,M252 81mm,M889A1 81mm HE,3000,8,10,1,9.2951600308978,8,38.95051806000605,SOFLAM rangefinder,600,300,600,300
81mm one crew,M252 81mm,M889A1 81mm HE,3000,10,6,1,10.0,8,38.95051806000605,SOFLAM rangefinder,600,600,600,600
81mm one crew,M252 81mm,M889A1 81mm HE,3000,10,8,1,10.0,8,38.95051806000605,SOFLAM rangefinder,600,300,600,300
81mm one crew,M252 81mm,M889A1 81mm HE,3000,10,10,1,10.0,8,38.95051806000605,SOFLAM rangefinder,300,300,300,300
81mm full crew,M252 81mm,M821A2 81mm HE,5000,4,6,2,5.9099915397570575,1,55.17990058500857,SOFLAM + EPLRS,900,600,900,600
81mm full crew,M252 81mm,M821A2 81mm HE,5000,4,8,2,5.9099915397570575,1,55.17990058500857,SOFLAM + EPLRS,900,600,900,600
81mm full crew,M252 81mm,M821A2 81mm HE,5000,4,10,2,5.9099915397570575,1,55.17990058500857,SOFLAM + EPLRS,900,600,900,600
81mm full crew,M252 81mm,M821A2 81mm HE,5000,8,6,2,10.0,1,55.17990058500857,SOFLAM + EPLRS,600,600,600,600
81mm full crew,M252 81mm,M821A2 81mm HE,5000,8,8,2,10.0,1,55.17990058500857,SOFLAM + EPLRS,600,600,600,600
81mm full crew,M252 81mm,M821A2 81mm HE,5000,8,10,2,10.0,1,55.17990058500857,SOFLAM + EPLRS,600,300,600,300
81mm full crew,M252 81mm,M821A2 81mm HE,5000,10,6,2,10.0,1,55.17990058500857,SOFLAM + EPLRS,600,600,600,600
81mm full crew,M252 81mm,M821A2 81mm HE,5000,10,8,2,10.0,1,55.17990058500857,SOFLAM + EPLRS,600,600,600,600
81mm full crew,M252 81mm,M821A2 81mm HE,5000,10,10,2,10.0,1,55.17990058500857,SOFLAM + EPLRS,600,300,600,300
OKSI drone,M252 81mm,OKSI M821A2 81mm HE,5000,4,6,2,5.9099915397570575,1,55.17990058500857,scout/bomber drone spotter,900,600,600,300
OKSI drone,M252 81mm,OKSI M821A2 81mm HE,5000,4,8,2,5.9099915397570575,1,55.17990058500857,scout/bomber drone spotter,900,600,600,300
OKSI drone,M252 81mm,OKSI M821A2 81mm HE,5000,4,10,2,5.9099915397570575,1,55.17990058500857,scout/bomber drone spotter,900,600,600,300
OKSI drone,M252 81mm,OKSI M821A2 81mm HE,5000,8,6,2,10.0,1,55.17990058500857,scout/bomber drone spotter,600,600,200,200
OKSI drone,M252 81mm,OKSI M821A2 81mm HE,5000,8,8,2,10.0,1,55.17990058500857,scout/bomber drone spotter,600,600,200,150
OKSI drone,M252 81mm,OKSI M821A2 81mm HE,5000,8,10,2,10.0,1,55.17990058500857,scout/bomber drone spotter,600,300,200,150
OKSI drone,M252 81mm,OKSI M821A2 81mm HE,5000,10,6,2,10.0,1,55.17990058500857,scout/bomber drone spotter,600,600,200,200
OKSI drone,M252 81mm,OKSI M821A2 81mm HE,5000,10,8,2,10.0,1,55.17990058500857,scout/bomber drone spotter,600,600,200,150
OKSI drone,M252 81mm,OKSI M821A2 81mm HE,5000,10,10,2,10.0,1,55.17990058500857,scout/bomber drone spotter,600,300,200,150
ACERM close,M252 81mm,ACERM 81mm HE,5900,4,6,2,5.9099915397570575,1,55.17990058500857,SOFLAM active designation,900,900,600,300
ACERM close,M252 81mm,ACERM 81mm HE,5900,4,8,2,5.9099915397570575,1,55.17990058500857,SOFLAM active designation,900,900,600,300
ACERM close,M252 81mm,ACERM 81mm HE,5900,4,10,2,5.9099915397570575,1,55.17990058500857,SOFLAM active designation,900,600,600,300
ACERM close,M252 81mm,ACERM 81mm HE,5900,8,6,2,10.0,1,55.17990058500857,SOFLAM active designation,600,600,300,200
ACERM close,M252 81mm,ACERM 81mm HE,5900,8,8,2,10.0,1,55.17990058500857,SOFLAM active designation,600,600,200,200
ACERM close,M252 81mm,ACERM 81mm HE,5900,8,10,2,10.0,1,55.17990058500857,SOFLAM active designation,600,600,200,150
ACERM close,M252 81mm,ACERM 81mm HE,5900,10,6,2,10.0,1,55.17990058500857,SOFLAM active designation,600,600,300,200
ACERM close,M252 81mm,ACERM 81mm HE,5900,10,8,2,10.0,1,55.17990058500857,SOFLAM active designation,600,600,200,200
ACERM close,M252 81mm,ACERM 81mm HE,5900,10,10,2,10.0,1,55.17990058500857,SOFLAM active designation,600,600,200,150
ACERM glide,M252 81mm,ACERM 81mm HE,12000,4,6,2,5.9099915397570575,1,66.40971799861956,SOFLAM active designation,1200,900,600,600
ACERM glide,M252 81mm,ACERM 81mm HE,12000,4,8,2,5.9099915397570575,1,66.40971799861956,SOFLAM active designation,1200,900,600,600
ACERM glide,M252 81mm,ACERM 81mm HE,12000,4,10,2,5.9099915397570575,1,66.40971799861956,SOFLAM active designation,1200,900,600,300
ACERM glide,M252 81mm,ACERM 81mm HE,12000,8,6,2,10.0,1,66.40971799861956,SOFLAM active designation,600,600,300,200
ACERM glide,M252 81mm,ACERM 81mm HE,12000,8,8,2,10.0,1,66.40971799861956,SOFLAM active designation,600,600,300,200
ACERM glide,M252 81mm,ACERM 81mm HE,12000,8,10,2,10.0,1,66.40971799861956,SOFLAM active designation,600,600,300,200
ACERM glide,M252 81mm,ACERM 81mm HE,12000,10,6,2,10.0,1,66.40971799861956,SOFLAM active designation,600,600,300,200
ACERM glide,M252 81mm,ACERM 81mm HE,12000,10,8,2,10.0,1,66.40971799861956,SOFLAM active designation,600,600,300,200
ACERM glide,M252 81mm,ACERM 81mm HE,12000,10,10,2,10.0,1,66.40971799861956,SOFLAM active designation,600,600,300,200
ACERM max,M252 81mm,ACERM 81mm HE,20000,4,6,2,5.9099915397570575,1,115.17990058500857,SOFLAM active designation,1200,900,600,600
ACERM max,M252 81mm,ACERM 81mm HE,20000,4,8,2,5.9099915397570575,1,115.17990058500857,SOFLAM active designation,1200,900,600,600
ACERM max,M252 81mm,ACERM 81mm HE,20000,4,10,2,5.9099915397570575,1,115.17990058500857,SOFLAM active designation,1200,900,600,600
ACERM max,M252 81mm,ACERM 81mm HE,20000,8,6,2,10.0,1,115.17990058500857,SOFLAM active designation,900,600,300,300
ACERM max,M252 81mm,ACERM 81mm HE,20000,8,8,2,10.0,1,115.17990058500857,SOFLAM active designation,600,600,300,200
ACERM max,M252 81mm,ACERM 81mm HE,20000,8,10,2,10.0,1,115.17990058500857,SOFLAM active designation,600,600,300,200
ACERM max,M252 81mm,ACERM 81mm HE,20000,10,6,2,10.0,1,115.17990058500857,SOFLAM active designation,900,600,300,300
ACERM max,M252 81mm,ACERM 81mm HE,20000,10,8,2,10.0,1,115.17990058500857,SOFLAM active designation,600,600,300,200
ACERM max,M252 81mm,ACERM 81mm HE,20000,10,10,2,10.0,1,115.17990058500857,SOFLAM active designation,600,600,300,200
