mortar,round,range_m,crew,profile,shot_index,total_range_m,total_deflection_m,player_offset_x_m,creep_offset_x_m,creep_offset_y_m,creep_distance_m,heading_degrees,danger_close,offset_multiplier
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,48.20632242595542,77.8240528666706,-100.0,48,0,48.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,124.46040015141216,115.0544856451883,-100.0,249,0,249.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,9.378347820609726,4.756695641219451,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,170.6797318200592,159.5952975760079,-100.0,341,0,341.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,38.295833333333334,62.591666666666676,-100.0,38,0,38.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,99.91076878645316,93.30698271319375,-100.0,150,0,150.0,90,True,1.5
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,8.976700680272108,3.9534013605442175,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,0,plain spotter,1,204.44240000000002,197.09098666666668,-100.0,409,0,409.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,0,SOFLAM rangefinder,1,45.74814814814815,77.4962962962963,-100.0,46,0,46.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,0,scout/bomber drone spotter,1,121.107421875,114.607421875,-100.0,242,0,242.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,0,full gucci: player sensors/RF/EPLRS + drone,1,9.378347820609726,4.756695641219451,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,0,plain spotter,1,165.39000000000001,158.89000000000001,-100.0,331,0,331.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,0,SOFLAM rangefinder,1,38.295833333333334,62.591666666666676,-100.0,38,0,38.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,0,scout/bomber drone spotter,1,99.79101562499999,93.29101562499999,-100.0,150,0,150.0,90,True,1.5
M224 60mm,M720A1 60mm HE,500,0,full gucci: player sensors/RF/EPLRS + drone,1,8.976700680272108,3.9534013605442175,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,203.86108171035173,197.01347756138023,-100.0,408,0,408.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,45.74814814814815,77.4962962962963,-100.0,46,0,46.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,121.107421875,114.607421875,-100.0,242,0,242.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,9.378347820609726,4.756695641219451,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,165.39000000000001,158.89000000000001,-100.0,331,0,331.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,38.295833333333334,62.591666666666676,-100.0,38,0,38.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,99.79101562499999,93.29101562499999,-100.0,150,0,150.0,90,True,1.5
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,8.976700680272108,3.9534013605442175,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,203.46,196.96,-100.0,407,0,407.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,45.74814814814815,77.4962962962963,-100.0,46,0,46.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,121.107421875,114.607421875,-100.0,242,0,242.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,9.378347820609726,4.756695641219451,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,165.39000000000001,158.89000000000001,-100.0,331,0,331.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,38.295833333333334,62.591666666666676,-100.0,38,0,38.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,99.79101562499999,93.29101562499999,-100.0,150,0,150.0,90,True,1.5
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,8.976700680272108,3.9534013605442175,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,203.46,196.96,-100.0,407,0,407.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,45.74814814814815,77.4962962962963,-100.0,46,0,46.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,121.107421875,114.607421875,-100.0,242,0,242.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,9.378347820609726,4.756695641219451,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,165.39000000000001,158.89000000000001,-100.0,331,0,331.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,38.295833333333334,62.591666666666676,-100.0,38,0,38.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,99.79101562499999,93.29101562499999,-100.0,150,0,150.0,90,True,1.5
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,8.976700680272108,3.9534013605442175,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,0,plain spotter,1,203.46,196.96,-100.0,407,0,407.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,0,SOFLAM rangefinder,1,45.74814814814815,77.4962962962963,-100.0,46,0,46.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,0,scout/bomber drone spotter,1,121.107421875,114.607421875,-100.0,242,0,242.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,0,full gucci: player sensors/RF/EPLRS + drone,1,9.378347820609726,4.756695641219451,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,0,plain spotter,1,165.39000000000001,158.89000000000001,-100.0,331,0,331.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,0,SOFLAM rangefinder,1,38.295833333333334,62.591666666666676,-100.0,38,0,38.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,0,scout/bomber drone spotter,1,99.79101562499999,93.29101562499999,-100.0,150,0,150.0,90,True,1.5
M224 60mm,M720A1 60mm HE,500,0,full gucci: player sensors/RF/EPLRS + drone,1,8.976700680272108,3.9534013605442175,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,203.46,196.96,-100.0,407,0,407.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,45.74814814814815,77.4962962962963,-100.0,46,0,46.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,121.107421875,114.607421875,-100.0,242,0,242.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,9.378347820609726,4.756695641219451,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,165.39000000000001,158.89000000000001,-100.0,331,0,331.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,38.295833333333334,62.591666666666676,-100.0,38,0,38.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,99.79101562499999,93.29101562499999,-100.0,150,0,150.0,90,True,1.5
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,8.976700680272108,3.9534013605442175,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,203.46,196.96,-100.0,407,0,407.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,45.74814814814815,77.4962962962963,-100.0,46,0,46.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,121.107421875,114.607421875,-100.0,242,0,242.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,9.378347820609726,4.756695641219451,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,165.39000000000001,158.89000000000001,-100.0,331,0,331.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,38.295833333333334,62.591666666666676,-100.0,38,0,38.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,99.79101562499999,93.29101562499999,-100.0,150,0,150.0,90,True,1.5
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,8.976700680272108,3.9534013605442175,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,203.46,196.96,-100.0,407,0,407.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,45.74814814814815,77.4962962962963,-100.0,46,0,46.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,121.107421875,114.607421875,-100.0,242,0,242.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,9.378347820609726,4.756695641219451,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,plain spotter,1,165.39000000000001,158.89000000000001,-100.0,331,0,331.0,90,True,2.0
M224 60mm,M720A1 60mm HE,500,1,SOFLAM rangefinder,1,38.295833333333334,62.591666666666676,-100.0,38,0,38.0,90,False,1.0
M224 60mm,M720A1 60mm HE,500,1,scout/bomber drone spotter,1,99.79101562499999,93.29101562499999,-100.0,150,0,150.0,90,True,1.5
M224 60mm,M720A1 60mm HE,500,1,full gucci: player sensors/RF/EPLRS + drone,1,8.976700680272108,3.9534013605442175,-100.0,9,0,9.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,0,plain spotter,1,240.06119999999999,209.31516,-100.0,480,0,480.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,0,SOFLAM rangefinder,1,66.09467222222221,83.43910444444441,-100.0,99,0,99.0,90,True,1.5
M224 60mm,M720A1 60mm HE,1000,0,scout/bomber drone spotter,1,140.893621875,117.245581875,-100.0,282,0,282.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,0,full gucci: player sensors/RF/EPLRS + drone,1,17.040424225245655,6.080848450491309,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,0,plain spotter,1,196.8798,169.26363999999998,-100.0,394,0,394.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,0,SOFLAM rangefinder,1,51.610031481481485,67.03510296296295,-100.0,77,0,77.0,90,True,1.5
M224 60mm,M720A1 60mm HE,1000,0,scout/bomber drone spotter,1,113.23581562499999,95.08365562499999,-100.0,226,0,226.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,0,full gucci: player sensors/RF/EPLRS + drone,1,16.61058988410179,5.221179768203578,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,236.14879512161858,208.7935060162158,-100.0,472,0,472.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,61.51936336237949,82.82906326313206,-100.0,92,0,92.0,90,True,1.5
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,136.40117601283995,116.64658909337867,-100.0,273,0,273.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,17.040424225245655,6.080848450491309,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,192.71162466877144,168.7078832891695,-100.0,385,0,385.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,47.22523148148148,66.45046296296296,-100.0,47,0,47.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,108.29425231539989,94.4247805170533,-100.0,217,0,217.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,16.61058988410179,5.221179768203578,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,234.64246053980327,208.59266140530707,-100.0,469,0,469.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,60.491356776906684,82.69199571840235,-100.0,91,0,91.0,90,True,1.5
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,135.31337842782432,116.50154941537657,-100.0,271,0,271.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,17.040424225245655,6.080848450491309,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,191.3898449722116,168.53164599629486,-100.0,383,0,383.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,47.22523148148148,66.45046296296296,-100.0,47,0,47.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,107.53052194790632,94.3229498013875,-100.0,215,0,215.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,16.61058988410179,5.221179768203578,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,234.64246053980327,208.59266140530707,-100.0,469,0,469.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,60.491356776906684,82.69199571840235,-100.0,91,0,91.0,90,True,1.5
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,135.31337842782432,116.50154941537657,-100.0,271,0,271.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,17.040424225245655,6.080848450491309,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,191.3898449722116,168.53164599629486,-100.0,383,0,383.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,47.22523148148148,66.45046296296296,-100.0,47,0,47.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,107.53052194790632,94.3229498013875,-100.0,215,0,215.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,16.61058988410179,5.221179768203578,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,0,plain spotter,1,222.01479999999998,206.9089733333333,-100.0,444,0,444.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,0,SOFLAM rangefinder,1,54.97847222222221,81.95694444444442,-100.0,82,0,82.0,90,True,1.5
M224 60mm,M720A1 60mm HE,1000,0,scout/bomber drone spotter,1,128.607421875,115.607421875,-100.0,257,0,257.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,0,full gucci: player sensors/RF/EPLRS + drone,1,17.040424225245655,6.080848450491309,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,0,plain spotter,1,180.015,167.015,-100.0,360,0,360.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,0,SOFLAM rangefinder,1,47.22523148148148,66.45046296296296,-100.0,47,0,47.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,0,scout/bomber drone spotter,1,107.29101562499999,94.29101562499999,-100.0,215,0,215.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,0,full gucci: player sensors/RF/EPLRS + drone,1,16.61058988410179,5.221179768203578,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,220.82029590623975,206.74970612083195,-100.0,442,0,442.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,54.97847222222221,81.95694444444442,-100.0,82,0,82.0,90,True,1.5
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,128.607421875,115.607421875,-100.0,257,0,257.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,17.040424225245655,6.080848450491309,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,180.015,167.015,-100.0,360,0,360.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,47.22523148148148,66.45046296296296,-100.0,47,0,47.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,107.29101562499999,94.29101562499999,-100.0,215,0,215.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,16.61058988410179,5.221179768203578,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,219.58499999999998,206.58499999999998,-100.0,439,0,439.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,54.97847222222221,81.95694444444442,-100.0,82,0,82.0,90,True,1.5
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,128.607421875,115.607421875,-100.0,257,0,257.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,17.040424225245655,6.080848450491309,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,180.015,167.015,-100.0,360,0,360.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,47.22523148148148,66.45046296296296,-100.0,47,0,47.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,107.29101562499999,94.29101562499999,-100.0,215,0,215.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,16.61058988410179,5.221179768203578,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,219.58499999999998,206.58499999999998,-100.0,439,0,439.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,54.97847222222221,81.95694444444442,-100.0,82,0,82.0,90,True,1.5
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,128.607421875,115.607421875,-100.0,257,0,257.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,17.040424225245655,6.080848450491309,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,180.015,167.015,-100.0,360,0,360.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,47.22523148148148,66.45046296296296,-100.0,47,0,47.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,107.29101562499999,94.29101562499999,-100.0,215,0,215.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,16.61058988410179,5.221179768203578,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,0,plain spotter,1,219.58499999999998,206.58499999999998,-100.0,439,0,439.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,0,SOFLAM rangefinder,1,54.97847222222221,81.95694444444442,-100.0,82,0,82.0,90,True,1.5
M224 60mm,M720A1 60mm HE,1000,0,scout/bomber drone spotter,1,128.607421875,115.607421875,-100.0,257,0,257.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,0,full gucci: player sensors/RF/EPLRS + drone,1,17.040424225245655,6.080848450491309,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,0,plain spotter,1,180.015,167.015,-100.0,360,0,360.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,0,SOFLAM rangefinder,1,47.22523148148148,66.45046296296296,-100.0,47,0,47.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,0,scout/bomber drone spotter,1,107.29101562499999,94.29101562499999,-100.0,215,0,215.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,0,full gucci: player sensors/RF/EPLRS + drone,1,16.61058988410179,5.221179768203578,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,219.58499999999998,206.58499999999998,-100.0,439,0,439.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,54.97847222222221,81.95694444444442,-100.0,82,0,82.0,90,True,1.5
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,128.607421875,115.607421875,-100.0,257,0,257.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,17.040424225245655,6.080848450491309,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,180.015,167.015,-100.0,360,0,360.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,47.22523148148148,66.45046296296296,-100.0,47,0,47.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,107.29101562499999,94.29101562499999,-100.0,215,0,215.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,16.61058988410179,5.221179768203578,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,219.58499999999998,206.58499999999998,-100.0,439,0,439.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,54.97847222222221,81.95694444444442,-100.0,82,0,82.0,90,True,1.5
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,128.607421875,115.607421875,-100.0,257,0,257.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,17.040424225245655,6.080848450491309,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,180.015,167.015,-100.0,360,0,360.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,47.22523148148148,66.45046296296296,-100.0,47,0,47.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,107.29101562499999,94.29101562499999,-100.0,215,0,215.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,full gucci: player sensors/RF/EPLRS + drone,1,16.61058988410179,5.221179768203578,-100.0,17,0,17.0,90,False,1.0
M224 60mm,M720A1 60mm HE,1000,1,plain spotter,1,219.58499999999998,206.58499999999998,-100.0,439,0,439.0,90,True,2.0
M224 60mm,M720A1 60mm HE,1000,1,SOFLAM rangefinder,1,54.97847222222221,81.95694444444442,-100.0,82,0,82.0,90,True,1.5
M224 60mm,M720A1 60mm HE,1000,1,scout/bomber drone spotter,1,128.607421875,115.607421875,-100.0,257,0,257.0,90,True,2.0
