mortar,round,guidance,range_tiles,max_range_tiles,in_range,expected_flight_s,single_gunner_fire_delay_s,max_crew_fire_delay_s,requirement
M252 81mm,OKSI M821A2 81mm HE,oksi,500,5900,yes,19.475259030003023,20,1,active drone fixed-point designation
M252 81mm,OKSI M821A2 81mm HE,oksi,1000,5900,yes,20.773609632003225,20,1,active drone fixed-point designation
M252 81mm,OKSI M821A2 81mm HE,oksi,3500,5900,yes,43.494745167006755,20,1,active drone fixed-point designation
M252 81mm,OKSI M821A2 81mm HE,oksi,5900,5900,yes,55.17990058500857,20,1,active drone fixed-point designation
M252 81mm,OKSI M821A2 81mm HE,oksi,10000,5900,no,,20,1,active drone fixed-point designation
M252 81mm,OKSI M821A2 81mm HE,oksi,15000,5900,no,,20,1,active drone fixed-point designation
M252 81mm,OKSI M821A2 81mm HE,oksi,20000,5900,no,,20,1,active drone fixed-point designation
M252 81mm,OKSI M889A1 81mm HE,oksi,100,5900,yes,19.475259030003023,20,1,active drone fixed-point designation
M252 81mm,OKSI M889A1 81mm HE,oksi,500,5900,yes,19.475259030003023,20,1,active drone fixed-point designation
M252 81mm,OKSI M889A1 81mm HE,oksi,1000,5900,yes,20.773609632003225,20,1,active drone fixed-point designation
M252 81mm,OKSI M889A1 81mm HE,oksi,3500,5900,yes,43.494745167006755,20,1,active drone fixed-point designation
M252 81mm,OKSI M889A1 81mm HE,oksi,5900,5900,yes,55.17990058500857,20,1,active drone fixed-point designation
M252 81mm,OKSI M889A1 81mm HE,oksi,10000,5900,no,,20,1,active drone fixed-point designation
M252 81mm,OKSI M889A1 81mm HE,oksi,15000,5900,no,,20,1,active drone fixed-point designation
M252 81mm,OKSI M889A1 81mm HE,oksi,20000,5900,no,,20,1,active drone fixed-point designation
M252 81mm,ACERM 81mm HE,acerm,100,20000,yes,19.475259030003023,20,1,active successful SOFLAM laser designation
M252 81mm,ACERM 81mm HE,acerm,500,20000,yes,19.475259030003023,20,1,active successful SOFLAM laser designation
M252 81mm,ACERM 81mm HE,acerm,1000,20000,yes,20.773609632003225,20,1,active successful SOFLAM laser designation
M252 81mm,ACERM 81mm HE,acerm,3500,20000,yes,43.494745167006755,20,1,active successful SOFLAM laser designation
M252 81mm,ACERM 81mm HE,acerm,5900,20000,yes,55.17990058500857,20,1,active successful SOFLAM laser designation
M252 81mm,ACERM 81mm HE,acerm,10000,20000,yes,60.25308603845658,20,1,active successful SOFLAM laser designation
M252 81mm,ACERM 81mm HE,acerm,15000,20000,yes,80.17160120368973,20,1,active successful SOFLAM laser designation
M252 81mm,ACERM 81mm HE,acerm,20000,20000,yes,115.17990058500857,20,1,active successful SOFLAM laser designation
M252 81mm,M819 81mm smoke,unguided,100,5900,yes,19.475259030003023,20,1,none
M252 81mm,M819 81mm smoke,unguided,500,5900,yes,19.475259030003023,20,1,none
M252 81mm,M819 81mm smoke,unguided,1000,5900,yes,20.773609632003225,20,1,none
M252 81mm,M819 81mm smoke,unguided,3500,5900,yes,43.494745167006755,20,1,none
M252 81mm,M819 81mm smoke,unguided,5900,5900,yes,55.17990058500857,20,1,none
M252 81mm,M819 81mm smoke,unguided,10000,5900,no,,20,1,none
M252 81mm,M819 81mm smoke,unguided,15000,5900,no,,20,1,none
M252 81mm,M819 81mm smoke,unguided,20000,5900,no,,20,1,none
M252 81mm,M853A1 81mm illum,unguided,100,5900,yes,19.475259030003023,20,1,none
M252 81mm,M853A1 81mm illum,unguided,500,5900,yes,19.475259030003023,20,1,none
M252 81mm,M853A1 81mm illum,unguided,1000,5900,yes,20.773609632003225,20,1,none
M252 81mm,M853A1 81mm illum,unguided,3500,5900,yes,43.494745167006755,20,1,none
M252 81mm,M853A1 81mm illum,unguided,5900,5900,yes,55.17990058500857,20,1,none
M252 81mm,M853A1 81mm illum,unguided,10000,5900,no,,20,1,none
M252 81mm,M853A1 81mm illum,unguided,15000,5900,no,,20,1,none
M252 81mm,M853A1 81mm illum,unguided,20000,5900,no,,20,1,none
